Feature ID,GeneID
A_01_P000713,HSD3B7
A_01_P000714,SLITRK6
A_01_P000715,LHCGR
A_01_P000716,SPTLC1
A_01_P000721,ALPK1
A_01_P000722,GALNT10
A_01_P000723,EXD1
A_01_P000724,HBA1
A_01_P000727,PGRMC1
A_01_P000728,TNNT1
A_01_P000731,TMX3
A_01_P000735,0
A_01_P000736,CDK14
A_01_P000737,SLC35E4
A_01_P000740,LOC715342
A_01_P000741,INO80E
A_01_P000742,CASQ2
A_01_P000743,JAG1
A_01_P000755,GRM4
A_01_P000756,0
A_01_P000757,CSNK1A1L
A_01_P000758,KLF11
A_01_P000760,0
A_01_P000761,TRIM3
A_01_P000762,OXT
A_01_P000763,STAT5A
A_01_P000764,TRIM55
A_01_P000765,0
A_01_P000767,0
A_01_P000768,PCDHGB3
A_01_P000770,LOC721444
A_01_P000772,0
A_01_P000775,SLC6A7
A_01_P000778,0
A_01_P000779,LOC708398
A_01_P000780,JRKL
A_01_P000781,HIST1H2BK
A_01_P000783,PYCARD
A_01_P000784,LOC106992279
A_01_P000785,PAX3
A_01_P000787,SLC5A7
A_01_P000793,ADCK1
A_01_P000798,CEP72
A_01_P000799,0
A_01_P000800,LOC706173
A_01_P000801,PSRC1
A_01_P000802,UBA3
A_01_P000803,OTUD6B
A_01_P000804,DHRS9
A_01_P000806,0
A_01_P000808,MUTYH
A_01_P000809,MTERF3
A_01_P000810,TLE3
A_01_P000811,IFNA13
A_01_P000814,PCCB
A_01_P000816,PMM1
A_01_P000818,0
A_01_P000821,EXOSC4
A_01_P000823,0
A_01_P000824,ELF5
A_01_P000827,GEMIN8
A_01_P000828,0
A_01_P000830,TLX2
A_01_P000832,TEKT1
A_01_P000834,UPF1
A_01_P000835,RAD9B
A_01_P000838,TOM1
A_01_P000839,ABCF2
A_01_P000840,C3
A_01_P000842,PLA2G4C
A_01_P000843,POGZ
A_01_P000847,ETFB
A_01_P000848,SETD1A
A_01_P000851,0
A_01_P000852,GIMAP7
A_01_P000853,EVA1A
A_01_P000855,NDUFA12
A_01_P000856,FNDC8
A_01_P000859,PSKH2
A_01_P000860,TBX4
A_01_P000864,LHFPL3
A_01_P000865,0
A_01_P000868,0
A_01_P000869,0
A_01_P000870,SETD9
A_01_P000871,0
A_01_P000873,CBY1
A_01_P000874,LOC708353
A_01_P000875,0
A_01_P000876,0
A_01_P000877,0
A_01_P000878,LOC706930
A_01_P000879,GHSR
A_01_P000881,ACTL7B
A_01_P000883,0
A_01_P000884,MMP11
A_01_P000885,0
A_01_P000886,LIPT1
A_01_P000888,0
A_01_P000889,GPR22
A_01_P000890,TCF19
A_01_P000893,NXPH4
A_01_P000896,0
A_01_P000897,0
A_01_P000898,GRM2
A_01_P000900,0
A_01_P000901,0
A_01_P000902,CCT2
A_01_P000903,LOC106992286
A_01_P000904,NLRC4
A_01_P000905,0
A_01_P000906,0
A_01_P000907,DMRT2
A_01_P000908,LOC106997936
A_01_P000910,0
A_01_P000911,WFIKKN2
A_01_P000915,0
A_01_P000916,SOX21
A_01_P000917,PTPRR
A_01_P000919,AKAP1
A_01_P000921,UQCRC2
A_01_P000924,SPOCK2
A_01_P000925,RRM2B
A_01_P000928,C12H2orf88
A_01_P000929,VPS37B
A_01_P000930,0
A_01_P000931,MARS
A_01_P000933,RELT
A_01_P000939,PPP1R27
A_01_P000940,DHX15
A_01_P000942,DIDO1
A_01_P000943,0
A_01_P000945,TMEM125
A_01_P000947,SPACA5
A_01_P000949,0
A_01_P000950,0
A_01_P000954,0
A_01_P000957,SF3A1
A_01_P000960,WFDC2
A_01_P000961,0
A_01_P000962,CTSC
A_01_P000964,HIPK3
A_01_P000965,SAXO1
A_01_P000966,DUSP21
A_01_P000969,GP2
A_01_P000972,SAMD7
A_01_P000975,ASPN
A_01_P000976,SETBP1
A_01_P000979,SOCS1
A_01_P000980,0
A_01_P000981,PRDX6
A_01_P000982,NPBWR1
A_01_P000986,LRRC4C
A_01_P000988,0
A_01_P000990,0
A_01_P000991,CLTB
A_01_P000992,CYP21A2
A_01_P000994,HILPDA
A_01_P000997,WDR74
A_01_P000999,LOC705636
A_01_P001000,PNKP
A_01_P001001,SLC1A4
A_01_P001004,ALKBH5
A_01_P001005,RNF146
A_01_P001007,DKK3
A_01_P001010,XXYLT1
A_01_P001011,WASHC5
A_01_P001012,FCGRT
A_01_P001014,C10H20orf144
A_01_P001016,0
A_01_P001017,PROCR
A_01_P001018,0
A_01_P001019,0
A_01_P001020,NFKB1
A_01_P001021,CASP7
A_01_P001022,SNX16
A_01_P001026,POLB
A_01_P001029,CENPM
A_01_P001032,SMPD1
A_01_P001034,0
A_01_P001036,SUMO1
A_01_P001039,0
A_01_P001042,SMARCD3
A_01_P001043,METTL22
A_01_P001044,0
A_01_P001045,TEX15
A_01_P001048,DOCK2
A_01_P001049,0
A_01_P001050,0
A_01_P001051,RALB
A_01_P001056,0
A_01_P001059,0
A_01_P001060,HES4
A_01_P001061,0
A_01_P001063,0
A_01_P001065,LOC709712
A_01_P001066,GAD2
A_01_P001067,RBX1
A_01_P001068,NDUFB4
A_01_P001069,SSTR2
A_01_P001071,0
A_01_P001073,CTNND1
A_01_P001074,PI15
A_01_P001075,0
A_01_P001076,METRN
A_01_P001077,HEY1
A_01_P001079,ARV1
A_01_P001082,LOC698105
A_01_P001083,RDH12
A_01_P001085,0
A_01_P001086,TEC
A_01_P001087,0
A_01_P001088,LDLRAD4
A_01_P001089,APOBEC2
A_01_P001091,PRPH2
A_01_P001093,PBRM1
A_01_P001096,GLRX2
A_01_P001097,KCNB1
A_01_P001098,0
A_01_P001100,SV2B
A_01_P001101,0
A_01_P001105,UPF3B
A_01_P001107,TFRC
A_01_P001111,SERTAD4
A_01_P001112,FCMR
A_01_P001114,PHLDA2
A_01_P001115,BTRC
A_01_P001120,OLFML1
A_01_P001121,0
A_01_P001123,CCDC57
A_01_P001124,PCDHB1
A_01_P001125,KCNJ15
A_01_P001126,P2RY2
A_01_P001128,0
A_01_P001129,SNORC
A_01_P001130,SERTAD2
A_01_P001131,0
A_01_P001132,IKZF3
A_01_P001134,0
A_01_P001135,FBXL20
A_01_P001136,TAL2
A_01_P001137,0
A_01_P001138,RXFP1
A_01_P001139,KMT5A
A_01_P001140,LOC106992362
A_01_P001144,ADGRG1
A_01_P001145,MAST2
A_01_P001147,PRRG1
A_01_P001151,POLR3GL
A_01_P001154,CHAMP1
A_01_P001155,ACSL1
A_01_P001156,ZWINT
A_01_P001158,0
A_01_P001160,0
A_01_P001161,0
A_01_P001162,GRPEL1
A_01_P001167,ATP6V0E2
A_01_P001169,LOC719179
A_01_P001170,DZIP1L
A_01_P001171,ZNF436
A_01_P001173,AMFR
A_01_P001174,SH2D3C
A_01_P001175,43712
A_01_P001178,0
A_01_P001179,0
A_01_P001181,MOB3A
A_01_P001184,RNF185
A_01_P001185,EMC6
A_01_P001186,PARP11
A_01_P001188,GNPTG
A_01_P001191,MKKS
A_01_P001193,PTMS
A_01_P001195,RAD9A
A_01_P001197,ZNF207
A_01_P001198,0
A_01_P001200,0
A_01_P001202,CYLC2
A_01_P001204,CNTNAP1
A_01_P001205,0
A_01_P001207,CFAP61
A_01_P001208,0
A_01_P001211,KCNB2
A_01_P001213,0
A_01_P001215,MN1
A_01_P001218,0
A_01_P001221,HS3ST6
A_01_P001222,SRP68
A_01_P001223,TRIM47
A_01_P001224,ATP5PD
A_01_P001225,AAGAB
A_01_P001228,PTGS2
A_01_P001231,VAMP1
A_01_P001232,LOC701315
A_01_P001234,FAM13C
A_01_P001235,0
A_01_P001237,NKX6-2
A_01_P001240,RBBP8
A_01_P001241,ABCC6
A_01_P001243,ORC4
A_01_P001244,0
A_01_P001245,RGS14
A_01_P001246,PDCD7
A_01_P001247,0
A_01_P001248,DDX1
A_01_P001250,CDC37
A_01_P001251,ADPRM
A_01_P001252,0
A_01_P001253,HORMAD1
A_01_P001254,OSTM1
A_01_P001256,RORC
A_01_P001257,SUN3
A_01_P001258,SURF4
A_01_P001259,0
A_01_P001260,0
A_01_P001261,RAN
A_01_P001262,ATG2B
A_01_P001263,WDR72
A_01_P001264,CATSPER3
A_01_P001265,0
A_01_P001268,S100G
A_01_P001272,MT1JP
A_01_P001273,CABP4
A_01_P001277,0
A_01_P001279,BEX5
A_01_P001280,VRK1
A_01_P001281,SFR1
A_01_P001283,CPA1
A_01_P001289,TMEM208
A_01_P001290,MARVELD3
A_01_P001292,LOC705860
A_01_P001293,0
A_01_P001295,COPZ2
A_01_P001296,MS4A4A
A_01_P001297,MAFB
A_01_P001298,0
A_01_P001299,LOC699293
A_01_P001300,0
A_01_P001302,PIR
A_01_P001304,ECHDC1
A_01_P001305,0
A_01_P001307,OR4E2
A_01_P001308,0
A_01_P001309,0
A_01_P001310,0
A_01_P001311,0
A_01_P001313,0
A_01_P001314,MRPL58
A_01_P001316,STXBP6
A_01_P001320,PHF6
A_01_P001322,CCDC6
A_01_P001327,SHH
A_01_P001328,PTDSS1
A_01_P001330,INTS4
A_01_P001331,BNC1
A_01_P001334,MYL12A
A_01_P001335,TTPAL
A_01_P001336,ADCY8
A_01_P001337,0
A_01_P001342,GNPDA1
A_01_P001344,PIP4P1
A_01_P001345,0
A_01_P001346,0
A_01_P001349,KLHL7
A_01_P001350,ZDHHC5
A_01_P001352,OR52M1
A_01_P001353,UNC5CL
A_01_P001355,PCDH20
A_01_P001359,CD1E
A_01_P001361,TFEC
A_01_P001362,SMAD2
A_01_P001363,DACT1
A_01_P001364,WNT5A
A_01_P001365,PCNA
A_01_P001366,POLR2I
A_01_P001367,MKNK2
A_01_P001370,COPE
A_01_P001371,HAMP
A_01_P001372,0
A_01_P001373,0
A_01_P001375,CPNE3
A_01_P001376,GTSF1L
A_01_P001377,MAPKAPK2
A_01_P001378,PPIL4
A_01_P001379,0
A_01_P001381,TSEN15
A_01_P001382,GOLT1B
A_01_P001383,CACNA2D3
A_01_P001384,TEX2
A_01_P001385,SCAMP5
A_01_P001386,TBC1D19
A_01_P001388,RAP1B
A_01_P001389,EMC7
A_01_P001390,GPR17
A_01_P001392,CBX5
A_01_P001393,DBT
A_01_P001394,DDHD2
A_01_P001396,ID3
A_01_P001398,CMTR2
A_01_P001399,MFGE8
A_01_P001400,0
A_01_P001401,ADAMTSL3
A_01_P001404,0
A_01_P001407,OR5F1
A_01_P001408,KCNMB3
A_01_P001409,0
A_01_P001411,DEFB132
A_01_P001412,DLX5
A_01_P001413,LOC710449
A_01_P001415,LOC722582
A_01_P001416,SLC9A3R1
A_01_P001419,0
A_01_P001422,CDKL1
A_01_P001425,ZSCAN29
A_01_P001429,EIF4EBP2
A_01_P001432,RSPO2
A_01_P001433,0
A_01_P001434,0
A_01_P001435,LOC719662
A_01_P001436,PEX2
A_01_P001437,STX7
A_01_P001438,EVA1B
A_01_P001441,0
A_01_P001442,PLEKHA1
A_01_P001443,PRDM5
A_01_P001444,B9D1
A_01_P001447,0
A_01_P001449,TMEM86B
A_01_P001450,0
A_01_P001451,0
A_01_P001454,L3HYPDH
A_01_P001455,PARVA
A_01_P001456,0
A_01_P001458,ZNF12
A_01_P001459,ELP5
A_01_P001460,TRHDE
A_01_P001464,0
A_01_P001467,ZSCAN4
A_01_P001468,LCP2
A_01_P001469,B3GALT1
A_01_P001470,HNRNPD
A_01_P001471,HAX1
A_01_P001472,CBLB
A_01_P001473,RNF133
A_01_P001476,DEFB118
A_01_P001477,0
A_01_P001479,PLK1
A_01_P001481,TOP1
A_01_P001482,0
A_01_P001483,0
A_01_P001488,LOC702823
A_01_P001489,OR4D11
A_01_P001493,0
A_01_P001494,0
A_01_P001495,TRIB1
A_01_P001498,0
A_01_P001499,MEFV
A_01_P001500,EGR1
A_01_P001501,PRRC2A
A_01_P001502,0
A_01_P001504,0
A_01_P001507,RSF1
A_01_P001508,SULF2
A_01_P001509,TRIM45
A_01_P001512,0
A_01_P001514,GABBR1
A_01_P001518,0
A_01_P001520,ACTN2
A_01_P001522,DCST2
A_01_P001525,XRCC5
A_01_P001526,CITED2
A_01_P001527,TM9SF4
A_01_P001531,0
A_01_P001533,0
A_01_P001534,TKTL2
A_01_P001536,TAS1R2
A_01_P001537,UFC1
A_01_P001539,FAM217A
A_01_P001540,FAM210A
A_01_P001543,0
A_01_P001544,TNC
A_01_P001546,C2CD2L
A_01_P001553,0
A_01_P001555,0
A_01_P001556,LPCAT2
A_01_P001558,0
A_01_P001559,KLHL28
A_01_P001560,0
A_01_P001561,NGEF
A_01_P001565,0
A_01_P001569,0
A_01_P001570,0
A_01_P001572,NDUFS5
A_01_P001577,MAP3K7
A_01_P001578,LOC708049
A_01_P001581,MYCBPAP
A_01_P001582,SMTNL2
A_01_P001583,BCL6
A_01_P001584,0
A_01_P001585,OR5M9
A_01_P001587,MDM4
A_01_P001588,0
A_01_P001591,0
A_01_P001593,MRFAP1L1
A_01_P001595,UBALD2
A_01_P001596,PLOD3
A_01_P001597,TAS2R1
A_01_P001598,ITGA6
A_01_P001599,MT1L
A_01_P001603,CDX4
A_01_P001606,GPR108
A_01_P001608,0
A_01_P001610,0
A_01_P001611,EDC3
A_01_P001613,FDFT1
A_01_P001616,MAMU-DQA1
A_01_P001617,TOR2A
A_01_P001618,FAM50A
A_01_P001620,LOC698455
A_01_P001621,CDA
A_01_P001623,SLC2A2
A_01_P001624,PCNX4
A_01_P001625,AIM2
A_01_P001626,UBE2D3
A_01_P001629,RAPGEF4
A_01_P001630,RAET1E
A_01_P001631,CDK9
A_01_P001632,SLC11A2
A_01_P001633,SFTPC
A_01_P001634,RAB11B
A_01_P001635,ARFGAP1
A_01_P001637,LOC106999904
A_01_P001638,TCEAL8
A_01_P001640,LOC708176
A_01_P001644,CAMKV
A_01_P001647,SESN3
A_01_P001648,0
A_01_P001649,MS4A14
A_01_P001650,ATP2C1
A_01_P001651,DCDC2
A_01_P001652,GMPR2
A_01_P001654,GPA33
A_01_P001655,ATG2A
A_01_P001656,PHYH
A_01_P001657,TOLLIP
A_01_P001658,0
A_01_P001659,PPIA
A_01_P001660,0
A_01_P001661,0
A_01_P001662,CNOT3
A_01_P001664,GRM5
A_01_P001665,BCAT2
A_01_P001667,0
A_01_P001668,0
A_01_P001671,HSPBAP1
A_01_P001673,OMG
A_01_P001674,0
A_01_P001676,0
A_01_P001681,DGLUCY
A_01_P001684,ALKBH7
A_01_P001685,CFD
A_01_P001688,ABCF1
A_01_P001690,TMED9
A_01_P001693,0
A_01_P001699,TMEM246
A_01_P001700,IL2RG
A_01_P001703,MT1X
A_01_P001705,0
A_01_P001707,VSNL1
A_01_P001709,DEXI
A_01_P001713,SLC5A2
A_01_P001714,SPSB4
A_01_P001715,LDHC
A_01_P001717,0
A_01_P001721,FAM9C
A_01_P001723,ANAPC10
A_01_P001724,FAM92A
A_01_P001725,FGFR1
A_01_P001728,ENSA
A_01_P001730,COL4A2
A_01_P001732,RASSF5
A_01_P001733,ZNF532
A_01_P001734,PLS1
A_01_P001735,PLCB3
A_01_P001736,NAP1L3
A_01_P001737,0
A_01_P001738,GJA8
A_01_P001739,PAFAH1B3
A_01_P001741,0
A_01_P001744,ABCC5
A_01_P001745,0
A_01_P001746,TNFRSF12A
A_01_P001748,KCNJ11
A_01_P001749,PATL1
A_01_P001750,TRIM41
A_01_P001752,LYL1
A_01_P001753,0
A_01_P001755,0
A_01_P001756,CAST
A_01_P001757,0
A_01_P001758,ARHGAP6
A_01_P001759,0
A_01_P001761,RCC1
A_01_P001762,0
A_01_P001763,OXR1
A_01_P001764,CDC123
A_01_P001765,0
A_01_P001766,SLCO5A1
A_01_P001768,PI16
A_01_P001769,SYP
A_01_P001770,CDKN2AIP
A_01_P001774,OAZ1
A_01_P001777,0
A_01_P001779,STX6
A_01_P001781,E2F1
A_01_P001783,GSTP1
A_01_P001788,RNF126
A_01_P001789,IL17C
A_01_P001791,ELOC
A_01_P001792,PPP2R2A
A_01_P001794,PCP4L1
A_01_P001797,HEPH
A_01_P001798,0
A_01_P001801,SOX17
A_01_P001802,SPACA4
A_01_P001803,HHIP
A_01_P001804,HOXD8
A_01_P001805,WDR83OS
A_01_P001806,0
A_01_P001807,ABCA4
A_01_P001808,PNPLA5
A_01_P001810,KCTD17
A_01_P001814,0
A_01_P001815,EPYC
A_01_P001816,SPI1
A_01_P001817,PARP16
A_01_P001821,TMEM101
A_01_P001822,NAB1
A_01_P001823,0
A_01_P001827,ASIC2
A_01_P001828,SLC25A3
A_01_P001829,BEX3
A_01_P001830,0
A_01_P001831,PFDN5
A_01_P001833,0
A_01_P001834,0
